"mean_group1" "mean_group2" "mean_mu_null" "mean_mu_group" "prob_null" "prob_group" "lrt_statistic" "p_value"
"100-101" 3.8314606741573 3.8314606741573 4.52314263899482 4.54708601220013 -343.119407769847 -342.205809399423 1.82719674084865 0.176459011619968
"100-102" 2.06741573033708 2.06741573033708 2.63289987204754 2.64168283290363 -289.266920954514 -289.260784732596 0.0122724438351725 0.911789962746741
"100-103" 0.719101123595506 0.719101123595506 1.11447091870472 1.13012781603488 -148.221578126926 -148.171250064233 0.100656125386251 0.75104367420983
"100-104" 0.359550561797753 0.359550561797753 1.0546757437634 1.07024094411881 -99.9684875554627 -99.5462128604462 0.844549390032967 0.358098876156824
"100-105" 0.528089887640449 0.528089887640449 1.02865334978908 1.08243098748503 -141.335431068142 -140.575054554998 1.5207530262893 0.217505573483812
"100-106" 0.235955056179775 0.235955056179775 0.93412304327295 0.998068178540518 -79.4485264345128 -78.1410312561273 2.61499035677093 0.10585816853883
"100-107" 0.348314606741573 0.348314606741573 1.42970234884974 1.50306416980412 -107.489154680343 -107.140717951871 0.696873456944502 0.403836256469889
"100-108" 0.393258426966292 0.393258426966292 1.07114869955528 1.13326284553098 -115.362379534662 -114.81396966463 1.09681974006247 0.294965099259505
"100-109" 0.426966292134831 0.426966292134831 0.698708633374718 0.775133051867933 -92.7714593540485 -92.3193845938491 0.904149520398846 0.341671503546866
"100-110" 0.146067415730337 0.146067415730337 0.734832954666077 0.74282293246335 -55.9802982239405 -56.023101442963 -0.0856064380450334 1
"100-111" 0.561797752808989 0.561797752808989 1.28703932163642 1.30541017468668 -123.440152326299 -123.139642201903 0.60102024879177 0.43818901951579
"100-112" 0.382022471910112 0.382022471910112 2.0726985351845 2.09083695165477 -91.0624361388106 -90.9499561741779 0.22495992926531 0.635286412994607
"100-113" 0.134831460674157 0.134831460674157 0.858309102987542 0.949576652737684 -58.1388664702942 -57.8395733861979 0.598586168192583 0.439117975969439
"100-114" 0.0449438202247191 0.0449438202247191 0.610785739717127 0.735433966490812 -22.2425472077539 -21.1572566060058 2.17058120349611 0.140673059087126
"100-115" 0.0224719101123595 0.0224719101123595 0.0534841062126548 0.0545154155529516 -17.4373522983977 -17.3963088196074 0.0820869575806 0.774488901993024
"100-116" 0.112359550561798 0.112359550561798 0.441279909660553 0.50798796406062 -53.7026911081595 -52.4663293080454 2.47272360022816 0.115837044924869
"100-117" 0.0561797752808989 0.0561797752808989 1.02517504304522 1.07464042651894 -27.9807812420504 -27.9063348223189 0.148892839463088 0.699595653643549
"100-118" 0.0674157303370786 0.0674157303370786 0.266036528204518 0.294445318621589 -39.3907756631901 -39.4182559235074 -0.0549605206346087 1
"100-119" 0.157303370786517 0.157303370786517 10.6700382765846 11.1901364037861 -28.0090138443519 -27.0317458679995 1.95453595270487 0.162098896004156
"100-120" 0.146067415730337 0.146067415730337 1.18472005898184 1.21914618805357 -56.8269970050758 -56.777245562258 0.0995028856356157 0.752427008154165
"100-121" 0.0224719101123595 0.0224719101123595 0.442719498508559 0.467756284022926 -15.310848589681 -15.1264106238294 0.368875931703087 0.543617620060008
"100-122" 0.0786516853932584 0.0786516853932584 0.398395943138873 0.51211019186596 -41.2707066714284 -39.7025468761437 3.13631959056931 0.0765664019457806
"100-123" 0.0561797752808989 0.0561797752808989 0.698106367783738 0.717117745688207 -19.2262053519349 -19.1256396480504 0.201131407769026 0.653809152027123
"100-124" 0.0561797752808989 0.0561797752808989 1.46098673815043 1.45889678739903 -24.4573276134857 -24.0707214351858 0.77321235659997 0.379225115033406
"100-125" 0.101123595505618 0.101123595505618 0.621459116145845 0.659907020346587 -39.2528772684847 -39.1873513056383 0.131051925692645 0.717343850023978
"100-126" 0.0449438202247191 0.0449438202247191 0.453997471700256 0.47104310320432 -15.6104016817553 -15.0145227675674 1.19175782837578 0.274975268052644
"100-127" 0.0337078651685393 0.0337078651685393 0.223520625968734 0.224835476759645 -18.553925617972 -18.4520381541133 0.203774927717404 0.65169093292261
"100-128" 0.0337078651685393 0.0337078651685393 0.572426830040802 0.591779032551425 -17.2916656535494 -17.1302265141367 0.322878278825556 0.56988301753278
"100-130" 0.0337078651685393 0.0337078651685393 2.19322838311955 2.2097277832789 -13.2319955653575 -13.1964062937142 0.0711785432865781 0.789628488696155
"100-131" 0.0337078651685393 0.0337078651685393 0.570533917448312 0.583310492956151 -20.7277843632097 -20.7001966424766 0.05517544146619 0.814290593183663
"100-132" 0.0337078651685393 0.0337078651685393 0.419555119945757 0.421226836645887 -10.1764067652784 -10.119842320541 0.113128889474865 0.736609676491499
"100-133" 0.0112359550561798 0.0112359550561798 0.0353163459436898 0.0358687156114194 -7.03330896375815 -7.02697875073557 0.0126604260451586 0.910412255491607
"100-134" 0.0337078651685393 0.0337078651685393 1.73532389795175 1.77609311571627 -18.3027589320267 -18.1036973053037 0.398123253445874 0.528060081914656
"100-135" 0.0112359550561798 0.0112359550561798 0.0147642253301096 0.0147610656635592 -10.3487724996043 -10.344577440816 0.00839011757655328 0.927017770281491
"100-137" 0.0224719101123595 0.0224719101123595 1.24481644398781 1.27771099788407 -12.9101675508206 -12.8810056474601 0.058323806720864 0.809165118806879
"100-138" 0.0112359550561798 0.0112359550561798 0.0148167374186392 0.0148057908354626 -10.3927114914443 -10.3878750102901 0.00967296230854231 0.921653408285682
"100-139" 0.0112359550561798 0.0112359550561798 0.0393899295094942 0.0397334889845559 -9.49745958833336 -9.49231062417141 0.0102979283238938 0.919170458277885
"100-140" 0.0561797752808989 0.0561797752808989 0.307442110964506 0.315668372739018 -33.3179555420982 -33.0305845686618 0.574741946872905 0.448380721900514
"100-145" 0.0224719101123595 0.0224719101123595 0.321233067044468 0.353352292479947 -16.3166046047676 -16.0856040465272 0.462001116480678 0.496690230814218
"100-146" 0.0224719101123595 0.0224719101123595 0.382202942510758 0.405571408314057 -18.9562647805562 -18.7699763174611 0.372576926190277 0.541602962407629
"100-147" 0.0112359550561798 0.0112359550561798 0.114430317094185 0.119413910739045 -9.90427116709492 -9.90145499277304 0.00563234864375772 0.940175745342791
"100-148" 0.0112359550561798 0.0112359550561798 0.0524853069564114 0.0533203007179317 -8.92390170186593 -8.92503212335214 -0.00226084297241869 1
"100-149" 0.0337078651685393 0.0337078651685393 2.34910106040054 2.1573688907882 -15.6895366551665 -15.4592129933534 0.46064732362629 0.497321600948717
"101-102" 4.68539325842697 4.68539325842697 4.9500708300796 4.96432767455234 -360.143489568892 -358.978878745437 2.32922164691024 0.126965348407591
"101-103" 1.04494382022472 1.04494382022472 1.99572890129454 2.02810327063158 -214.573685074177 -214.00645473112 1.13446068611586 0.28682586264852
"101-104" 0.51685393258427 0.51685393258427 1.72045705213206 1.75682505000931 -136.970912853429 -136.333789371187 1.27424696448304 0.258971461688555
"101-105" 0.426966292134831 0.426966292134831 1.11335512659085 1.1405593470242 -120.260922973256 -120.249003191932 0.0238395626498118 0.877293836253151
"101-106" 0.348314606741573 0.348314606741573 1.97238257287874 2.07243266663329 -100.57057258176 -99.9740451365134 1.1930548904935 0.27471421367229
"101-107" 3.14606741573034 0.314606741573034 2.33526509148764 2.14141317910314 -206.85817672369 -196.300951520894 21.1144504055934 0.00000432653212050641
"101-108" 0.359550561797753 0.359550561797753 1.43772289860936 1.45958047978453 -98.8250993497841 -98.7125398164606 0.225119066646926 0.635166825380715
"101-109" 0.539325842696629 0.539325842696629 2.10219207703133 2.26494323536402 -134.589562997528 -133.068801693227 3.04152260860207 0.08115975930648
"101-110" 2.24719101123596 0.224719101123595 2.47664620815671 2.15854480280725 -174.767346092087 -164.517755977267 20.4991802296402 0.00000596567960427607
"101-111" 0.292134831460674 0.292134831460674 1.25282752781942 1.30594747672725 -87.8781969866662 -87.6591580647246 0.438077843883093 0.508051660224133
