i	j	fold	type
18	20	0	n
19	20	0	n
16	22	0	n
17	22	0	n
19	22	0	n
21	22	0	n
16	23	0	n
22	23	0	n
16	24	0	n
22	24	0	n
17	25	0	n
22	25	0	n
24	25	0	n
16	26	0	n
20	26	0	n
22	26	0	n
23	26	0	n
24	26	0	n
25	26	0	n
16	27	0	n
19	27	0	n
21	27	0	n
22	27	0	n
24	27	0	n
25	27	0	n
26	27	0	n
16	28	0	n
17	28	0	n
19	28	0	n
22	28	0	n
24	28	0	n
25	28	0	n
26	28	0	n
27	28	0	n
16	29	0	n
21	29	0	n
24	29	0	n
25	29	0	n
26	29	0	n
27	29	0	n
28	29	0	n
20	30	0	n
23	30	0	n
24	30	0	n
25	30	0	n
26	30	0	n
27	30	0	n
28	30	0	n
29	30	0	n
16	31	0	n
22	31	0	n
25	31	0	n
26	31	0	n
27	31	0	n
28	31	0	n
29	31	0	n
30	31	0	n
22	32	0	n
24	32	0	n
26	32	0	n
27	32	0	n
28	32	0	n
29	32	0	n
30	32	0	n
31	32	0	n
18	33	0	n
22	33	0	n
24	33	0	n
25	33	0	n
26	33	0	n
27	33	0	n
28	33	0	n
29	33	0	n
30	33	0	n
31	33	0	n
32	33	0	n
16	34	0	n
19	34	0	n
22	34	0	n
24	34	0	n
25	34	0	n
26	34	0	n
27	34	0	n
28	34	0	n
29	34	0	n
30	34	0	n
31	34	0	n
32	34	0	n
33	34	0	n
16	35	0	n
20	35	0	n
25	35	0	n
26	35	0	n
27	35	0	n
28	35	0	n
29	35	0	n
30	35	0	n
31	35	0	n
32	35	0	n
33	35	0	n
34	35	0	n
16	36	0	n
22	36	0	n
24	36	0	n
25	36	0	n
26	36	0	n
27	36	0	n
28	36	0	n
29	36	0	n
30	36	0	n
31	36	0	n
32	36	0	n
33	36	0	n
34	36	0	n
35	36	0	n
25	37	0	n
26	37	0	n
27	37	0	n
28	37	0	n
29	37	0	n
30	37	0	n
31	37	0	n
32	37	0	n
33	37	0	n
34	37	0	n
35	37	0	n
36	37	0	n
20	38	0	n
21	38	0	n
25	38	0	n
26	38	0	n
27	38	0	n
28	38	0	n
29	38	0	n
30	38	0	n
31	38	0	n
32	38	0	n
33	38	0	n
34	38	0	n
35	38	0	n
36	38	0	n
37	38	0	n
25	39	0	n
26	39	0	n
27	39	0	n
28	39	0	n
29	39	0	n
30	39	0	n
31	39	0	n
32	39	0	n
33	39	0	n
34	39	0	n
35	39	0	n
36	39	0	n
37	39	0	n
38	39	0	n
16	40	0	n
22	40	0	n
25	40	0	n
26	40	0	n
27	40	0	n
28	40	0	n
29	40	0	n
30	40	0	n
31	40	0	n
32	40	0	n
33	40	0	n
34	40	0	n
35	40	0	n
36	40	0	n
37	40	0	n
38	40	0	n
39	40	0	n
27	41	0	n
28	41	0	n
29	41	0	n
30	41	0	n
31	41	0	n
32	41	0	n
34	41	0	n
35	41	0	n
36	41	0	n
37	41	0	n
38	41	0	n
39	41	0	n
40	41	0	n
26	42	0	n
27	42	0	n
28	42	0	n
29	42	0	n
30	42	0	n
31	42	0	n
32	42	0	n
33	42	0	n
34	42	0	n
35	42	0	n
36	42	0	n
37	42	0	n
38	42	0	n
39	42	0	n
40	42	1	down
41	42	0	n
17	43	0	n
26	43	0	n
27	43	0	n
28	43	0	n
29	43	0	n
30	43	0	n
31	43	0	n
32	43	0	n
33	43	0	n
34	43	0	n
35	43	0	n
36	43	0	n
37	43	0	n
38	43	0	n
39	43	0	n
40	43	0	n
41	43	0	n
42	43	0	n
25	44	0	n
26	44	0	n
27	44	0	n
28	44	0	n
29	44	0	n
30	44	0	n
31	44	0	n
32	44	0	n
33	44	0	n
34	44	0	n
35	44	0	n
36	44	0	n
37	44	0	n
38	44	0	n
39	44	0	n
40	44	0	n
41	44	0	n
42	44	0	n
43	44	0	n
16	45	0	n
25	45	0	n
26	45	0	n
27	45	0	n
28	45	0	n
29	45	0	n
30	45	0	n
31	45	0	n
32	45	0	n
33	45	0	n
34	45	0	n
35	45	0	n
36	45	0	n
37	45	0	n
38	45	0	n
39	45	0	n
40	45	0	n
41	45	0	n
42	45	0	n
43	45	0	n
44	45	0	n
20	46	0	n
27	46	0	n
28	46	0	n
29	46	0	n
30	46	0	n
31	46	0	n
32	46	0	n
33	46	0	n
34	46	0	n
35	46	0	n
36	46	0	n
37	46	0	n
38	46	0	n
39	46	0	n
40	46	0	n
41	46	0	n
42	46	0	n
43	46	0	n
44	46	0	n
45	46	0	n
25	47	0	n
26	47	0	n
27	47	0	n
28	47	0	n
29	47	0	n
30	47	0	n
31	47	0	n
32	47	0	n
33	47	0	n
34	47	0	n
35	47	0	n
36	47	0	n
37	47	0	n
38	47	0	n
39	47	0	n
40	47	0	n
41	47	0	n
42	47	0	n
43	47	0	n
44	47	0	n
45	47	0	n
46	47	0	n
26	48	0	n
27	48	0	n
28	48	0	n
29	48	0	n
30	48	0	n
31	48	0	n
32	48	0	n
33	48	0	n
34	48	0	n
35	48	0	n
36	48	0	n
37	48	1	up
38	48	0	n
39	48	0	n
40	48	0	n
41	48	0	n
42	48	0	n
43	48	0	n
44	48	0	n
45	48	0	n
46	48	0	n
47	48	0	n
22	49	0	n
26	49	0	n
27	49	0	n
28	49	0	n
29	49	0	n
30	49	0	n
31	49	0	n
32	49	0	n
33	49	0	n
34	49	0	n
35	49	0	n
36	49	0	n
37	49	0	n
38	49	0	n
39	49	0	n
40	49	0	n
41	49	1	up
42	49	0	n
43	49	0	n
44	49	0	n
45	49	0	n
46	49	0	n
47	49	0	n
48	49	0	n
26	50	0	n
27	50	0	n
28	50	0	n
29	50	0	n
30	50	0	n
31	50	0	n
32	50	0	n
33	50	0	n
34	50	0	n
35	50	0	n
